Tanggal,Platform,Rating,Review
23/03/2026,tvlk,4,"Mantapppp nyaman banget, bersih, staf ramah semua."
12-04-2026,Booking,6,"Check in cepet, tapi kebersihan toilet tolong ditingkatkan lg."
2026-04-14,Traveloka,5,harga worth it banget dgn fasilitas yg dikasih. water heater berfungsi baik.
08/04/2026,Booking,5/10,"overall lumayan lah, cuman wifi aja sering putus2."
04/04/2026,Traveloka,3.0,"Biasa aja, standard bintang 3. nothing special."
"March 11, 2026",tvlk,4/5,"overall bagus bgt, bersih dan nyaman. anak2 seneng bgt main di pool nya."
25-03-2026,Booking,10/10,karyawannya helpfull banget pas sy ketinggalan barang lgsg dihubungin.
29/04/2026,agoda.com,2.0 / 10,kecewa berat. makanan breakfast dingin semua jam 8 pagi udh pada habis.
13-04-2026,tvlk,4,harga worth it banget dgn fasilitas yg dikasih. water heater berfungsi baik.
2026-04-23,Agoda,8.0 / 10,Selalu langganan nginep sini. breakfast nya juara! banyak pilihan
2026-03-15,Booking.com,6/10,lokasi strategis kemana mana deket. cuma sayang bangunan agak tua dan kasurnya keras.
21-04-2026,agoda.com,2.0 / 10,resepsionisnya jutek parah!! proses check in lama bgt nunggu hampir 2 jam.
26-03-2026,Booking.com,2.0 / 10,"Sprei kayak blm diganti, ada noda kuning. Minta ganti tpi housekeeping lama."
05/03/2026,Booking.com,6/10,"overall lumayan lah, cuman wifi aja sering putus2. <br><br>"
28-04-2026,Traveloka,5.0,<i>karyawannya helpfull banget pas sy ketinggalan barang lgsg dihubungin.</i>
"March 14, 2026",Booking.com,6,"biasa aja, standard bintang 3. nothing special."
"March 26, 2026",Booking.com,4,"Kamar bau apek bgt, ac nya juga kurang dingin. pdhal bawa anak kecil. nyesel nginep sini."
10-03-2026,Traveloka,2/5,Kecewa berat. Makanan breakfast dingin semua jam 8 pagi udh pada habis. <br><br>
09/03/2026,tvlk,5/5,<i>harga worth it banget dgn fasilitas yg dikasih. water heater berfungsi baik.</i>
17-04-2026,tvlk,4.0,"Very clean, spacious room. Highly recommended."
"April 17, 2026",Booking.com,9,"overall bagus bgt, bersih dan nyaman. anak2 seneng bgt main di pool nya."
"April 27, 2026",Booking.com,9/10,"Mantapppp nyaman banget, bersih, staf ramah semua."
24/03/2026,tvlk,5.0,"Perfect location, beautiful pool. Will come back."
"March 09, 2026",tvlk,3,lokasi strategis kemana mana deket. cuma sayang bangunan agak tua dan kasurnya keras.
2026-03-06,Traveloka,2,"<i>Banyak nyamuk, air panas di kamar mandi mati nyala. Gak rekomen.</i>"
2026-04-25,Traveloka,5.0,Excellent stay! The staff went above and beyond.
10/03/2026,agoda.com,2,"pelayanan sangat buruk, parkiran sempit susah keluar masuk."
"April 20, 2026",Booking.com,6,"check in cepet, tapi kebersihan toilet tolong ditingkatkan lg."
2026-04-08,Traveloka,1/5,"pelayanan sangat buruk, parkiran sempit susah keluar masuk."
"March 25, 2026",Booking,10,"overall bagus bgt, bersih dan nyaman. anak2 seneng bgt main di pool nya."
"April 08, 2026",Booking,6,"check in cepet, tapi kebersihan toilet tolong ditingkatkan lg."
03-04-2026,Agoda,5/10,"Average stay. Clean enough, but breakfast options are very limited."
2026-04-05,Booking.com,10/10,karyawannya helpfull banget pas sy ketinggalan barang lgsg dihubungin.
2026-04-13,Booking,6/10,"overall lumayan lah, cuman wifi aja sering putus2."
13-04-2026,Agoda,4.0 / 10,"<i>Kamar bau apek bgt, ac nya juga kurang dingin. pdhal bawa anak kecil. nyesel nginep sini.</i>"
19-04-2026,Booking.com,7/10,"Mantapppp nyaman banget, bersih, staf ramah semua."
08-03-2026,tvlk,1,"<i>sprei kayak blm diganti, ada noda kuning. minta ganti tpi housekeeping lama.</i>"
28/03/2026,tvlk,5/5,"mantapppp nyaman banget, bersih, staf ramah semua."
2026-03-30,Booking.com,2/10,"Sprei kayak blm diganti, ada noda kuning. Minta ganti tpi housekeeping lama."
16-04-2026,Agoda,10,harga worth it banget dgn fasilitas yg dikasih. water heater berfungsi baik.
02/04/2026,agoda.com,7.0 / 10,harga worth it banget dgn fasilitas yg dikasih. water heater berfungsi baik.
2026-04-02,tvlk,2,"Kamar bau apek bgt, ac nya juga kurang dingin. pdhal bawa anak kecil. nyesel nginep sini."
25-04-2026,agoda.com,5,"kamarnya sih luas dan bersih, tapi stafnya kurang ramah pas di resto."
23/04/2026,Agoda,8.0 / 10,harga worth it banget dgn fasilitas yg dikasih. water heater berfungsi baik.
10-03-2026,Agoda,2,"Banyak nyamuk, air panas di kamar mandi mati nyala. Gak rekomen."
18/04/2026,Booking.com,6.0 / 10,"Biasa aja, standard bintang 3. nothing special."
2026-04-04,agoda.com,2,Wifi lemot ga bisa dipake kerja sama sekali. harga doang mahal fasilitas zonk.
08-04-2026,agoda.com,8/10,"Kamar luas, view bagus. proses checkin juga sat set ga pake lama. recommended!"
2026-04-01,Traveloka,3,"kamarnya sih luas dan bersih, tapi stafnya kurang ramah pas di resto."
08-03-2026,tvlk,4,"overall bagus bgt, bersih dan nyaman. anak2 seneng bgt main di pool nya."
26-04-2026,Booking,8.0 / 10,karyawannya helpfull banget pas sy ketinggalan barang lgsg dihubungin.
2026-03-16,Agoda,10,"overall bagus bgt, bersih dan nyaman. anak2 seneng bgt main di pool nya."
2026-03-16,Booking.com,6/10,"Check in cepet, tapi kebersihan toilet tolong ditingkatkan lg."
"March 06, 2026",Traveloka,5/5,"Perfect location, beautiful pool. Will come back."
2026-04-22,tvlk,2/5,overprice! ga sesuai foto. kamarnya sempit bgt sumpek.
18/04/2026,Booking.com,10/10,"Kamar luas, view bagus. proses checkin juga sat set ga pake lama. recommended!"
"March 09, 2026",Booking.com,6.0 / 10,"kamarnya sih luas dan bersih, tapi stafnya kurang ramah pas di resto."
30/04/2026,tvlk,1.0,Terrible experience. The room was dirty and smelled like smoke.
"March 17, 2026",Booking,10/10,Selalu langganan nginep sini. breakfast nya juara! banyak pilihan
14/03/2026,tvlk,3.0,"check in cepet, tapi kebersihan toilet tolong ditingkatkan lg."
15-04-2026,Booking,8.0 / 10,"Perfect location, beautiful pool. Will come back.

[Translated by System]"
26-03-2026,tvlk,5/5,"<i>Mantapppp nyaman banget, bersih, staf ramah semua.</i>"
"March 29, 2026",agoda.com,7,"mantapppp nyaman banget, bersih, staf ramah semua."
08/03/2026,Agoda,4/10,Staff barely speaks English. Breakfast was awful.
2026-03-15,Booking.com,8,"Kamar luas, view bagus. proses checkin juga sat set ga pake lama. recommended!"
2026-03-22,tvlk,1/5,overprice! ga sesuai foto. kamarnya sempit bgt sumpek.
07/04/2026,Booking,2/10,Resepsionisnya jutek parah!! proses check in lama bgt nunggu hampir 2 jam.
07/04/2026,tvlk,3,sarapan bervariasi rasanya lumayan. tp ac d kamar agak berisik jd kurang nyenyak.
2026-03-01,Booking.com,8,"<i>overall bagus bgt, bersih dan nyaman. anak2 seneng bgt main di pool nya.</i>"
2026-04-15,agoda.com,8.0 / 10,"Kamar luas, view bagus. proses checkin juga sat set ga pake lama. recommended!"
2026-03-15,tvlk,3,"<i>Overall lumayan lah, cuman wifi aja sering putus2.</i>"
2026-04-27,agoda.com,8.0 / 10,"Mantapppp nyaman banget, bersih, staf ramah semua."
25-04-2026,tvlk,4,karyawannya helpfull banget pas sy ketinggalan barang lgsg dihubungin.
05/03/2026,agoda.com,2/10,"Sprei kayak blm diganti, ada noda kuning. Minta ganti tpi housekeeping lama."
"March 18, 2026",Agoda,3/10,overprice! ga sesuai foto. kamarnya sempit bgt sumpek. <br><br>
14/03/2026,Booking.com,10.0 / 10,"Kamar luas, view bagus. proses checkin juga sat set ga pake lama. recommended!"
"April 16, 2026",Booking.com,10.0 / 10,<i>karyawannya helpfull banget pas sy ketinggalan barang lgsg dihubungin.</i>
"March 16, 2026",Traveloka,4.0,<i>karyawannya helpfull banget pas sy ketinggalan barang lgsg dihubungin.</i>
"April 21, 2026",Booking,8/10,Selalu langganan nginep sini. breakfast nya juara! banyak pilihan
2026-03-13,agoda.com,3/10,Resepsionisnya jutek parah!! proses check in lama bgt nunggu hampir 2 jam.
"March 07, 2026",Agoda,4/10,"Banyak nyamuk, air panas di kamar mandi mati nyala. Gak rekomen."
"March 23, 2026",agoda.com,8/10,Selalu langganan nginep sini. breakfast nya juara! banyak pilihan <br><br>
"March 27, 2026",Booking,9,"Very clean, spacious room. Highly recommended."
2026-04-25,Booking.com,10.0 / 10,karyawannya helpfull banget pas sy ketinggalan barang lgsg dihubungin. <br><br>
2026-04-13,Traveloka,1.0,Overpriced for what you get. The pictures are misleading.
"March 04, 2026",tvlk,3,"Average stay. Clean enough, but breakfast options are very limited."
16-04-2026,tvlk,5.0,Great value for money. The buffet breakfast was amazing!
2026-04-21,Traveloka,2/5,"<i>pelayanan sangat buruk, parkiran sempit susah keluar masuk.</i>"
16/03/2026,tvlk,5.0,"Kamar luas, view bagus. proses checkin juga sat set ga pake lama. recommended!"
"March 13, 2026",Traveloka,2/5,"pelayanan sangat buruk, parkiran sempit susah keluar masuk."
"March 09, 2026",Booking.com,10,karyawannya helpfull banget pas sy ketinggalan barang lgsg dihubungin.
12-03-2026,Traveloka,4/5,"overall bagus bgt, bersih dan nyaman. anak2 seneng bgt main di pool nya."
30/03/2026,agoda.com,8,"Excellent stay! The staff went above and beyond.

[Translated by System]"
2026-04-25,Booking.com,2.0 / 10,"Kamar bau apek bgt, ac nya juga kurang dingin. pdhal bawa anak kecil. nyesel nginep sini."
2026-03-29,Agoda,9,harga worth it banget dgn fasilitas yg dikasih. water heater berfungsi baik.
2026-03-04,Booking,7,"<i>overall bagus bgt, bersih dan nyaman. anak2 seneng bgt main di pool nya.</i>"
06/03/2026,Traveloka,3,"overall lumayan lah, cuman wifi aja sering putus2."
"March 11, 2026",Agoda,10/10,selalu langganan nginep sini. breakfast nya juara! banyak pilihan
"April 01, 2026",Booking.com,9,Great value for money. The buffet breakfast was amazing! <br><br>
"March 14, 2026",tvlk,3/5,"Overall lumayan lah, cuman wifi aja sering putus2."
2026-04-27,Booking.com,7,harga worth it banget dgn fasilitas yg dikasih. water heater berfungsi baik.
"March 11, 2026",Agoda,7/10,"<i>overall bagus bgt, bersih dan nyaman. anak2 seneng bgt main di pool nya.</i>"
"March 01, 2026",Booking,10/10,karyawannya helpfull banget pas sy ketinggalan barang lgsg dihubungin.
"March 17, 2026",Traveloka,3.0,"check in cepet, tapi kebersihan toilet tolong ditingkatkan lg. <br><br>"
"March 19, 2026",Agoda,8.0 / 10,"Mantapppp nyaman banget, bersih, staf ramah semua. <br><br>"
"April 14, 2026",agoda.com,6.0 / 10,"<i>Biasa aja, standard bintang 3. nothing special.</i>"
10/03/2026,Booking,4,"<i>Sprei kayak blm diganti, ada noda kuning. Minta ganti tpi housekeeping lama.</i>"
19/03/2026,tvlk,1.0,"<i>pelayanan sangat buruk, parkiran sempit susah keluar masuk.</i>"
2026-03-04,Booking.com,10.0 / 10,<i>harga worth it banget dgn fasilitas yg dikasih. water heater berfungsi baik.</i>
17-04-2026,Agoda,2.0 / 10,kecewa berat. makanan breakfast dingin semua jam 8 pagi udh pada habis. <br><br>
2026-03-04,Agoda,7/10,karyawannya helpfull banget pas sy ketinggalan barang lgsg dihubungin.
"April 07, 2026",Agoda,8.0 / 10,<i>Selalu langganan nginep sini. breakfast nya juara! banyak pilihan</i>
02/04/2026,agoda.com,2,Wifi lemot ga bisa dipake kerja sama sekali. harga doang mahal fasilitas zonk.
2026-03-04,agoda.com,6/10,Sarapan bervariasi rasanya lumayan. tp ac d kamar agak berisik jd kurang nyenyak. <br><br>
24/04/2026,agoda.com,7/10,Excellent stay! The staff went above and beyond.
2026-03-05,Agoda,6.0 / 10,lokasi strategis kemana mana deket. cuma sayang bangunan agak tua dan kasurnya keras.
13/04/2026,Traveloka,4/5,Selalu langganan nginep sini. breakfast nya juara! banyak pilihan
2026-03-26,Booking.com,6.0 / 10,"overall lumayan lah, cuman wifi aja sering putus2."
30/04/2026,Booking,2,"Terrible experience. The room was dirty and smelled like smoke.

[Translated by System]"
2026-04-07,Booking.com,9,"Mantapppp nyaman banget, bersih, staf ramah semua. <br><br>"
2026-04-09,tvlk,3,"Biasa aja, standard bintang 3. nothing special. <br><br>"
27-03-2026,tvlk,2/5,resepsionisnya jutek parah!! proses check in lama bgt nunggu hampir 2 jam.
29-04-2026,agoda.com,6,sarapan bervariasi rasanya lumayan. tp ac d kamar agak berisik jd kurang nyenyak.
14-03-2026,Booking,7,"overall bagus bgt, bersih dan nyaman. anak2 seneng bgt main di pool nya."
16-03-2026,Agoda,10.0 / 10,<i>harga worth it banget dgn fasilitas yg dikasih. water heater berfungsi baik.</i>
26/03/2026,tvlk,4,harga worth it banget dgn fasilitas yg dikasih. water heater berfungsi baik.
12-04-2026,Traveloka,3.0,"overall lumayan lah, cuman wifi aja sering putus2."
30-03-2026,tvlk,3/5,"kamarnya sih luas dan bersih, tapi stafnya kurang ramah pas di resto."
2026-04-29,Agoda,2.0 / 10,"Sprei kayak blm diganti, ada noda kuning. Minta ganti tpi housekeeping lama."
"March 01, 2026",Booking,2,Resepsionisnya jutek parah!! proses check in lama bgt nunggu hampir 2 jam.
2026-04-09,tvlk,5.0,"<i>Mantapppp nyaman banget, bersih, staf ramah semua.</i>"
05/03/2026,Traveloka,3/5,sarapan bervariasi rasanya lumayan. tp ac d kamar agak berisik jd kurang nyenyak.
02-04-2026,tvlk,3/5,"Kamarnya sih luas dan bersih, TAPI stafnya kurang ramah pas di resto."
09-03-2026,Agoda,4.0 / 10,"Kamar bau apek bgt, ac nya juga kurang dingin. pdhal bawa anak kecil. nyesel nginep sini."
2026-04-26,Booking.com,6/10,"overall lumayan lah, cuman wifi aja sering putus2."
26/04/2026,Traveloka,4,"mantapppp nyaman banget, bersih, staf ramah semua."
24-03-2026,Booking.com,6/10,"biasa aja, standard bintang 3. nothing special."
"March 11, 2026",Booking.com,5.0 / 10,"Friendly staff, but the wifi connection was terrible."
23-04-2026,Traveloka,4,karyawannya helpfull banget pas sy ketinggalan barang lgsg dihubungin.
2026-04-09,Booking,2/10,"Sprei kayak blm diganti, ada noda kuning. Minta ganti tpi housekeeping lama."
12-04-2026,Booking.com,2.0 / 10,"pelayanan sangat buruk, parkiran sempit susah keluar masuk."
2026-04-29,Traveloka,5/5,"overall bagus bgt, bersih dan nyaman. anak2 seneng bgt main di pool nya. <br><br>"
30/04/2026,Traveloka,3.0,"Biasa aja, standard bintang 3. nothing special."
2026-03-17,Traveloka,3/5,Lokasi strategis kemana mana deket. Cuma sayang bangunan agak tua dan kasurnya keras.
2026-04-26,Agoda,10/10,selalu langganan nginep sini. breakfast nya juara! banyak pilihan
17/04/2026,Agoda,10,"Perfect location, beautiful pool. Will come back."
18-03-2026,tvlk,2.0,Wifi lemot ga bisa dipake kerja sama sekali. harga doang mahal fasilitas zonk.
08/04/2026,Traveloka,1/5,"<i>pelayanan sangat buruk, parkiran sempit susah keluar masuk.</i>"
15-04-2026,Agoda,2/10,Kecewa berat. Makanan breakfast dingin semua jam 8 pagi udh pada habis.
